"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"E2E-01","P0","1","both","Prepare E2E Test SOP","Create a realistic sample SOP text file containing at least a liquid transfer and a mixing step.","WHEN file exists THEN it contains valid biology SOP text; ref: tests/fixtures/e2e-blender-sop.txt:1","MANUAL","git-workflow-and-versioning;verification-before-completion","","Ensure SOP is realistic and covers core macros","Verify SOP file creation","已完成","已完成","已完成","已提交","","tests/fixtures/e2e-blender-sop.txt:1","picked_reason:first P0 foundation fixture required before pipeline and Blender workflow; done_at:2026-06-10; skills_used:mission-csv-execute;git-workflow-and-versioning;verification-before-completion; mcp_used:none; evidence:Get-Content tests/fixtures/e2e-blender-sop.txt showed realistic SOP with transfer and mixing steps; evidence:npx tsx splitSopIntoOperationChunks reported count=9 hasTransfer=true hasMix=true unrecognized=0; continue_now:E2E-02 Run AutoBiology Pipeline"
"E2E-02","P0","1","both","Run AutoBiology Pipeline","Execute the full autob pipeline on the test SOP to generate requirement JSONs.","WHEN command completes THEN 04-requirements.json is created in output directory; ref: src/cli.ts:1","MANUAL","git-workflow-and-versioning;verification-before-completion","","Verify pipeline runs without errors on Windows/Unix","Check JSON schema validity","已完成","已完成","已完成","已提交","","src/cli.ts:1","picked_reason:next P0 after SOP fixture; generates JSON consumed by Blender workflow; done_at:2026-06-10; skills_used:mission-csv-execute;git-workflow-and-versioning;verification-before-completion; mcp_used:none; evidence:HOME and USERPROFILE isolated to .codex/e2e-blender-workflow/home; evidence:npx tsx src/cli.ts run tests/fixtures/e2e-blender-sop.txt -o .codex/e2e-blender-workflow/pipeline exited 0; evidence:output directory contains 04-requirements.json length=59060 plus run-meta/report/coverage artifacts; evidence:run-meta stats opCount=9 requirementCount=69 clarificationCount=2 llmModel=not-configured; evidence:components/blender-simulation loadRequirementTable parsed 69 requirements from 04-requirements.json; continue_now:E2E-03 Execute Blender Workflow & Render Video"
"E2E-03","P0","1","backend","Execute Blender Workflow & Render Video","Parse JSON, generate animation, render Blender frames, and encode those rendered frames to an .mp4 video when Blender-native FFMPEG output is unavailable.","WHEN simulation finishes THEN a rendered .mp4 video encoded from Blender-rendered frames exists alongside the .blend file; ref: docs/superpowers/specs/2026-06-09-blender-simulation-design.md:1","MANUAL","git-workflow-and-versioning;verification-before-completion","blender-mcp","Verify simulation completes and video is rendered","Check for .mp4 output file presence","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-blender-simulation-design.md:1","picked_reason:next P0 consumes pipeline requirements and must exercise required blender-mcp evidence; done_at:2026-06-10; skills_used:mission-csv-execute;git-workflow-and-versioning;verification-before-completion; mcp_used:blender-mcp; evidence:loadRequirementTable parsed pipeline 04-requirements.json and createSimulationPlan produced requirements=69 assets=21 moves=69 liquidScales=0 endFrame=208; mcp_evidence:blender execute_blender_code rendered generated script successfully with SIMULATION_COMPLETE:208 and E2E_PLAN_SUMMARY requirements=69 assets=21 moves=69 endFrame=208; mcp_evidence:blender get_scene_info after render reported object_count=23 and materials_count=5; mcp_evidence:blender get_viewport_screenshot captured non-empty layout scene; evidence:Blender saved .codex/e2e-blender-workflow/render/e2e_blender_simulation.blend length=101230; validation_limited:Blender 5.1.2 image_settings FFMPEG enum is listed but assignment fails after read_homefile, so Blender rendered PNG frames and ffmpeg encoded mp4 from those rendered frames; evidence:frames directory contains 52 Blender-rendered png frames; evidence:ffmpeg encoded .codex/e2e-blender-workflow/render/e2e_blender_simulation.mp4 length=5974; evidence:ffprobe mp4 codec=h264 width=320 height=240 r_frame_rate=12/1 duration=4.416667 nb_frames=53; continue_now:REVIEW-01 Review end-to-end pipeline execution; wording_updated_by:E2E-FU-02 to clarify frame render plus ffmpeg encode path"
"REVIEW-01","P0","1","review","Review end-to-end pipeline execution","Use a same-model sub-agent review to verify the full flow from text to 3D rendered video.","WHEN all prior issues are closed THEN run same-model sub-agent review; WHEN gaps exist THEN append follow-up issues; WHEN successful THEN close CSV.","MANUAL","superpowers:requesting-code-review","","Verify all prior rows are closed.","Verify end-to-end evidence shows that a raw text SOP successfully resulted in a mapped Blender 3D animation AND a successfully exported .mp4 video file.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-blender-simulation-design.md:1","review_kind:vision; review_agent:same-model-sub-agent; picked_reason:all prior non-review rows closed; final vision review required by CSV; done_at:2026-06-10; skills_used:mission-csv-execute;superpowers:requesting-code-review;verification-before-completion; mcp_used:multi_agent_v1.spawn_agent;multi_agent_v1.wait_agent; review_result:same-model sub-agent completed; Assessment=With fixes; review_evidence:no critical issues; important issues are REVIEW-01 still open and liquidScales=0 despite Chinese liquid/mix SOP; follow_up:E2E-FU-01;E2E-FU-02;REVIEW-02; continue_now:E2E-FU-01 Map liquid and mix semantics to Blender macros"
"E2E-FU-01","P1","2","backend","Map liquid and mix semantics to Blender macros","Replace the English-only liquid heuristic with normalized SOP/action/requirement mapping for transfer, add-liquid, discard-liquid, resuspend, and mix operations.","WHEN e2e-blender-sop requirements are planned THEN liquid/mix-related macro count is greater than 0 and rendered frames visibly show the operation; ref: components/blender-simulation/src/orchestration.ts:47","MANUAL","test-driven-development;git-workflow-and-versioning;verification-before-completion","blender-mcp","Verify semantic mapping from Chinese SOP fields","Verify rendered artifact reflects liquid/mix operations","已完成","已完成","已完成","已提交","","components/blender-simulation/src/orchestration.ts:47","picked_reason:e2e produced liquidScales=0 despite liquid/mix SOP; started_at:2026-06-10; done_at:2026-06-10; skills_used:mission-csv-execute;test-driven-development;git-workflow-and-versioning;verification-before-completion; mcp_used:blender-mcp; evidence:red test npx vitest run components/blender-simulation/tests/orchestration.test.ts failed before implementation expecting Chinese liquidScales but got []; evidence:npx vitest run components/blender-simulation/tests/orchestration.test.ts passed 4 tests after implementation; evidence:createSimulationPlan on E2E requirements produced requirements=69 assets=21 moves=69 liquidScales=43 endFrame=337; mcp_evidence:blender execute_blender_code rendered script with 43 LIQUID_SCALE lines and E2E_PLAN_SUMMARY requirements=69 assets=21 moves=69 liquidScales=43 endFrame=337; mcp_evidence:Blender scale sample for 细胞悬液 showed frame4 scale_z=0.200 and frame7 scale_z=0.850; mcp_evidence:blender get_scene_info reported object_count=23 materials_count=5; mcp_evidence:blender get_viewport_screenshot captured non-empty updated layout; evidence:final blend length=106764 mp4 length=8425 frames=85; evidence:ffprobe final mp4 codec=h264 width=320 height=240 duration=7.166667 nb_frames=86; continue_now:E2E-FU-02 Clarify MP4 render path"
"E2E-FU-02","P2","2","backend","Clarify MP4 render path","Decide whether accepted MP4 output is Blender-native FFMPEG or Blender PNG frames plus system ffmpeg fallback.","WHEN fallback is used THEN CSV wording and evidence state the ffmpeg dependency and do not claim Blender-native MP4 output; ref: issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","MANUAL","git-workflow-and-versioning;verification-before-completion","blender-mcp","Verify render path wording matches actual implementation","Verify MP4 validation remains reproducible","已完成","已完成","已完成","已提交","","issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","picked_reason:current evidence is frame render plus ffmpeg encode, not Blender-native MP4; started_at:2026-06-10; done_at:2026-06-10; skills_used:mission-csv-execute;git-workflow-and-versioning;verification-before-completion; mcp_used:blender-mcp; mcp_evidence:blender execute_blender_code after read_homefile showed FFMPEG assignment TypeError despite FFMPEG appearing in image format enum; evidence:E2E-03 description and acceptance now state Blender-rendered frames encoded to mp4 instead of Blender-native mp4 output; evidence:ffprobe final mp4 codec=h264 width=320 height=240 duration=7.166667 nb_frames=86; evidence:final mp4 length=8425; continue_now:REVIEW-02 Review follow-up Blender E2E closure"
"REVIEW-02","P0","2","review","Review follow-up Blender E2E closure","Run same-model sub-agent review after E2E follow-ups to verify liquid/mix mapping and MP4 wording are closed.","WHEN follow-up issues are closed THEN run same-model sub-agent review; WHEN successful THEN close CSV.","MANUAL","superpowers:requesting-code-review","","Verify E2E-FU rows are closed.","Verify evidence shows Chinese liquid/mix requirements produce liquid macros and MP4 render-path wording matches actual implementation.","已完成","已完成","已完成","已提交","","components/blender-simulation/src/orchestration.ts:47; issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","review_kind:vision; review_agent:same-model-sub-agent; picked_reason:all E2E follow-up rows closed; final same-model review required; done_at:2026-06-10; skills_used:mission-csv-execute;superpowers:requesting-code-review;verification-before-completion; mcp_used:multi_agent_v1.spawn_agent;multi_agent_v1.wait_agent; review_result:same-model sub-agent completed; Assessment=With fixes; review_evidence:no critical issues; important issue is broad 转移 match in verificationMethod inflating liquidScales; follow_up:E2E-FU-03;REVIEW-03; continue_now:E2E-FU-03 Avoid false liquid macro matches"
"E2E-FU-03","P1","3","backend","Avoid false liquid macro matches","Refine liquid/mix semantic detection so non-liquid workflow phrases such as 状态转移测试, placement, and centrifuge requirements do not produce liquid scale macros.","WHEN Chinese E2E requirements are planned THEN liquidScales remain greater than 0 but non-liquid 状态转移/放置/离心-only requirements do not produce liquid scale macros; ref: components/blender-simulation/src/orchestration.ts:81","MANUAL","test-driven-development;git-workflow-and-versioning;verification-before-completion","blender-mcp","Verify false-positive negative cases are covered by tests","Verify E2E Blender plan still has real liquid/mix macros and render artifact remains valid","已完成","已完成","已完成","已提交","","components/blender-simulation/src/orchestration.ts:81; components/blender-simulation/tests/orchestration.test.ts:77","picked_reason:REVIEW-02 found 状态转移测试 false-positive inflates liquidScales; started_at:2026-06-10; started_at:2026-06-10; done_at:2026-06-10; skills_used:mission-csv-execute;test-driven-development;git-workflow-and-versioning;verification-before-completion; mcp_used:blender-mcp; evidence:red test npx vitest run components/blender-simulation/tests/orchestration.test.ts failed with false-positive 冷冻离心机 liquid scale from constraints; evidence:npx vitest run components/blender-simulation/tests/orchestration.test.ts passed 5 tests after fix; evidence:E2E createSimulationPlan produced requirements=69 assets=21 moves=69 liquidScales=34 falsePositiveObjects=[] endFrame=310; mcp_evidence:blender execute_blender_code rendered script with E2E_PLAN_SUMMARY requirements=69 assets=21 moves=69 liquidScales=34 endFrame=310; mcp_evidence:Blender scale sample for 细胞悬液 frame4=0.200 frame7=0.850 and HAS_FALSE_POSITIVE_5000G=False; mcp_evidence:blender get_scene_info object_count=23 materials_count=5 and screenshot non-empty; evidence:final blend length=105748 mp4 length=7789 frames=78; evidence:ffprobe final mp4 codec=h264 width=320 height=240 duration=6.583333 nb_frames=79; continue_now:REVIEW-03 Review final Blender E2E closure"
"REVIEW-03","P0","3","review","Review final Blender E2E closure","Run same-model sub-agent review after false-positive liquid matching is fixed.","WHEN E2E-FU-03 is closed THEN run same-model sub-agent review; WHEN no critical or important issues remain THEN close CSV.","MANUAL","superpowers:requesting-code-review","","Verify all implementation rows are closed.","Verify liquid/mix mapping is neither zero nor inflated by non-liquid 状态转移/放置/离心-only requirements and MP4 wording remains truthful.","已完成","已完成","已完成","已提交","","components/blender-simulation/src/orchestration.ts:81; issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","review_kind:vision; review_agent:same-model-sub-agent; picked_reason:all implementation rows closed after false-positive fix; final same-model review required; done_at:2026-06-10; skills_used:mission-csv-execute;superpowers:requesting-code-review;verification-before-completion; mcp_used:multi_agent_v1.spawn_agent;multi_agent_v1.wait_agent; review_result:same-model sub-agent completed; Assessment=With fixes due procedural Graphify freshness only; review_evidence:no critical issues; no important issues; E2E workflow evidence sufficient; component boundary preserved; MP4 wording truthful; liquid false-positive fixed; graphify_evidence:GRAPH_REPORT built_from_commit=7042e664 matched HEAD before REVIEW-03 CSV-only commit; terminal_state:all CSV rows closed"
"E2E-TODO-FFMPEG-01","P2","4","backend","Install FFmpeg in Blender runtime","Install or configure FFmpeg directly inside the Blender runtime so Blender-native animation rendering can write .mp4 without relying on the external system ffmpeg fallback.","WHEN Blender is launched for the E2E workflow THEN setting scene.render.image_settings.file_format = 'FFMPEG' succeeds after read_homefile and bpy.ops.render.render(animation=True) writes e2e_blender_simulation.mp4 directly from Blender; WHEN implementing THEN keep Blender simulation as a standalone component and do not mix it into the original converter pipeline; ref: issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","MANUAL","git-workflow-and-versioning;verification-before-completion","blender-mcp","Verify Blender-native FFMPEG assignment succeeds after read_homefile","Verify E2E MP4 render path no longer depends on system ffmpeg fallback","未开始","未开始","未开始","未提交","","issues/2026-06-10_00-38-00-e2e-blender-workflow.csv:4","todo_requested_by_user:2026-06-10; implementation_not_started; reason:direct FFmpeg support inside Blender would remove external ffmpeg encode fallback; boundary:Blender simulation remains a new standalone component"
