"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"01","P0","1","core","Project Setup and Data Models","Initialize project with TypeScript, Vitest, Commander.js. Define all data contracts in src/pipeline/types.ts and setup CLI commands.","WHEN `npm run build` runs THEN it compiles successfully; WHEN `npx tsx src/cli.ts --help` runs THEN it shows run, atomize, hypergraph, requirements, infer, review commands; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","verification-before-completion","","Verify types.ts matches design spec exactly.","Verify no compile errors.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/types.ts:1; src/cli.ts:5; package.json:9; .gitignore:1","picked_reason:P0 foundation for all CLI/pipeline stages; done_at:2026-06-09; skills_used:verification-before-completion; mcp_used:none-required; review_initial:types.ts checked against design spec sections 3.1-3.4; review_regression:npm run build exit0; npm test exit0 1 test; npx tsx src/cli.ts --help lists run atomize hypergraph requirements infer review; graphify_update:graphify update . exit0"
"02","P0","2","pipeline","Stage 1: Atomizer","Implement SOP parsing rules (A1-F5), action dictionary matching, and prompt-based LLM extraction to convert raw SOP text into OpTable.","WHEN Atomizer runs on sample SOP THEN it outputs a valid OpTable JSON; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","test-driven-development","","Verify rules engine splits sentences correctly.","Verify unit tests for Atomizer pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/atomizer/rules.ts:9; src/pipeline/atomizer/action-dict.ts:7; src/pipeline/atomizer/index.ts:21; src/cli.ts:27; tests/atomizer.test.ts:9; tests/fixtures/sample-sop-cell-collection.txt:1","picked_reason:P0 first executable pipeline stage; unlocks downstream hypergraph and requirements issues; done_at:2026-06-09; skills_used:test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/atomizer.test.ts failed on missing behavior after skeletal module; review_initial:rules split consecutive/composite SOP actions and standardize verbs via atomizer tests; review_regression:npm test exit0 2 files 5 tests; npm run build exit0; CLI atomize sample generated 4 ops with 转移,离心,弃液,收集; graphify_update:graphify update . exit0"
"03","P0","3","pipeline","Stage 2: Hypergraph Builder","Implement node extraction, synonym normalization, node reuse, and hyperedge assembly.","WHEN Hypergraph Builder runs on OpTable THEN it outputs valid nodes.json and hyperedges.json with correct references; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","test-driven-development","","Verify node normalization logic works.","Verify unit tests for Hypergraph Builder pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/hypergraph/index.ts:3; src/pipeline/hypergraph/index.ts:9; src/pipeline/hypergraph/index.ts:68; src/cli.ts:45; tests/hypergraph.test.ts:7","picked_reason:P0 downstream dependency for deterministic requirement generation; done_at:2026-06-09; skills_used:test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/hypergraph.test.ts failed on normalization/node assembly assertions after skeletal module; review_initial:normalizeNodeName maps 磷酸盐缓冲液 to PBS and buildHypergraph reuses one Input node across OP-001/OP-002; review_regression:npm test exit0 3 files 7 tests; npm run build exit0; CLI atomize+hypergraph generated 41 nodes and H-OP-001..H-OP-004 with connected nodes; graphify_update:graphify update . exit0"
"04","P0","4","pipeline","Stage 3: Requirement Generator","Implement deterministic mapping rules (R1-R10) and domain pattern matching. Add fingerprinting for deduplication.","WHEN Generator runs on Hypergraph THEN it outputs requirements.json with correct direct mappings and no duplicates; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","test-driven-development","","Verify direct mapping and fingerprint deduplication.","Verify unit tests for Requirement Generator pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/requirements/index.ts:13; src/pipeline/requirements/index.ts:18; src/pipeline/requirements/index.ts:63; src/pipeline/requirements/index.ts:255; src/cli.ts:59; tests/requirements.test.ts:11","picked_reason:P0 converts hypergraph evidence into the primary design-requirement deliverable; done_at:2026-06-09; skills_used:test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/requirements.test.ts failed on R1-R10/dedup/domain-pattern assertions after skeletal module; review_initial:generateRequirements maps hyperedge fields to R1-R10 and createRequirementFingerprint deduplicates duplicate R1 mappings; review_regression:npm test exit0 4 files 10 tests; npm run build exit0; CLI atomize+hypergraph+requirements generated 34 requirements with unique fingerprints and R3 centrifuge parameter evidence; graphify_update:graphify update . exit0"
"05","P0","5","pipeline","Stage 4: LLM Inference","Implement LLM client with retry/fallback. Add prompts for Candidate Generation, Rewriting, and Semantic Dedup.","WHEN LLM Inference runs THEN it generates implicit requirements with source_hyperedge references; WHEN LLM fails THEN it degrades gracefully; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","test-driven-development","","Verify LLM error handling and schema validation.","Verify unit tests for LLM client pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/llm/client.ts:16; src/llm/client.ts:47; src/llm/prompts.ts:3; src/pipeline/inference/index.ts:15; src/pipeline/inference/index.ts:102; src/cli.ts:74; tests/inference.test.ts:14","picked_reason:P0 adds implicit requirement discovery and graceful degradation layer before review/output; done_at:2026-06-09; skills_used:test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/inference.test.ts failed on LLM candidate/retry/fallback/prompt assertions after skeletal modules; review_initial:inferRequirements requires source_hyperedge and creates LLM-Candidate requirements; prompts cover candidate generation, rewriting, semantic dedup; review_regression:npm test exit0 5 files 14 tests; npm run build exit0; CLI infer without client preserved 34 requirements and recorded LLM fallback clarification; graphify_update:graphify update . exit0"
"06","P0","6","output","Stage 5: Reviewer & Mermaid Visualizations","Implement coverage matrix generation, requirement verification rules, interactive CLI review mode, and 5 Mermaid diagram renderers.","WHEN Reviewer runs THEN coverage.json and report.md with embedded .mmd diagrams are generated; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","test-driven-development","","Verify mermaid syntax is valid and coverage matrix calculates correctly.","Verify output generation unit tests pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/review/index.ts:15; src/pipeline/review/index.ts:26; src/pipeline/review/index.ts:36; src/pipeline/review/index.ts:91; src/pipeline/review/index.ts:152; src/cli.ts:87; tests/review.test.ts:15","picked_reason:P0 final visible output stage before end-to-end CLI integration; done_at:2026-06-09; skills_used:test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/review.test.ts failed on coverage/artifact/interactive assertions after skeletal module; review_initial:reviewRequirements builds coverage matrix and 5 Mermaid diagrams; applyInteractiveReviewDecision handles confirm-all candidates; review_regression:npm test exit0 6 files 17 tests; npm run build exit0; CLI review generated 05-coverage.json, report.md, and 5 diagrams with embedded mermaid blocks; graphify_update:graphify update . exit0"
"07","P1","7","integration","E2E Tests and CLI Integration","Wire up pipeline runner, test end-to-end flow with sample SOP fixture, verify full CLI execution.","WHEN `autobio run sample-sop.md` executes THEN it completes all 5 stages and outputs the final folder structure; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","verification-before-completion","","Verify full pipeline execution works seamlessly.","Verify all E2E and integration tests pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; src/pipeline/runner.ts:14; src/pipeline/runner.ts:44; src/cli.ts:24; tests/e2e.test.ts:10","picked_reason:P1 integrates completed stages into user-facing full pipeline command; done_at:2026-06-09; skills_used:verification-before-completion,test-driven-development; mcp_used:none-required; tdd_red:npm test -- tests/e2e.test.ts failed because run command was not implemented; review_initial:runPipeline orchestrates atomize, hypergraph, requirements, infer, review and writes run-meta/clarifications; review_regression:npm test exit0 7 files 18 tests; npm run build exit0; CLI run generated expected final folder structure, 5 diagrams, 4 ops, 4 hyperedges, >=10 requirements; graphify_update:graphify update . exit0"
"REVIEW-01","P0","8","review","Review task outcome against original request","Audit the entire codebase and CLI functionality against the design spec and AutoBiology methodology.","WHEN review is complete THEN confirm that the CLI successfully parses SOPs to hypergraphs and extracts R1-R10 requirements; ref: docs/superpowers/specs/2026-06-09-autobiocli-design.md","MANUAL","requesting-code-review","","Verify codebase matches design spec architecture.","Run regression tests.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-09-autobiocli-design.md; issues/20260609-autobiocli-implementation.review.md:1; package.json:5; tsconfig.json:10; src/pipeline/inference/index.ts:15; src/pipeline/review/index.ts:36; src/pipeline/review/index.ts:180","picked_reason:final mandatory vision audit after all implementation issues are closed; done_at:2026-06-09; skills_used:requesting-code-review; mcp_used:multi_agent_v1.spawn_agent,wait_agent,close_agent; review_result:gaps_found; subagent:same-model inherited default; followups_added:FOLLOWUP-01,FOLLOWUP-02,FOLLOWUP-03,FOLLOWUP-04,REVIEW-02; verification:npm run build exit0; npm test exit0 7 files 18 tests; CLI run audit produced R1-R10, 4 OPs, 4 hyperedges"
"FOLLOWUP-01","P0","9","core","Fix packaged CLI bin path and smoke test","Fix build output or package bin so installed/package-built autobio executable works, and add a smoke test for the built CLI.","WHEN npm run build runs THEN package bin path exists; WHEN node/package-built autobio --help runs THEN it shows the command list.","MANUAL","test-driven-development,verification-before-completion","","Verify package.json bin matches emitted build artifact.","Verify packaged CLI smoke test passes after build.","未开始","未开始","未开始","未提交","","package.json:5; tsconfig.json:10; tests/e2e.test.ts:15; issues/20260609-autobiocli-implementation.review.md:1",""
"FOLLOWUP-02","P0","10","pipeline","Wire CLI/env to OpenAI-compatible LLM client","Create configuration/env wiring so infer/run can construct the OpenAI-compatible LLM client when credentials are present, while preserving graceful fallback when absent.","WHEN LLM env config is present THEN infer/run pass a real OpenAiCompatibleLlmClient into inference; WHEN env config is absent THEN output records limited LLM fallback without throwing.","MANUAL","test-driven-development,security-and-hardening","","Verify env/config parsing does not leak secrets and injects the client into inference.","Verify tests cover configured and unconfigured LLM paths without using real credentials.","未开始","未开始","未开始","未提交","","src/llm/client.ts:16; src/pipeline/inference/index.ts:15; src/cli.ts:74; src/pipeline/runner.ts:31; issues/20260609-autobiocli-implementation.review.md:1",""
