"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"VER-13","P0","C","types","Add verification report interfaces","Update src/pipeline/types.ts with QualityScore, DedupResult, RiskCoverageReport, TraceabilityReport, VerificationReport and related issue item interfaces.","WHEN TypeScript builds THEN review verification modules can import typed QualityScore/DedupResult/RiskCoverageReport/TraceabilityReport/VerificationReport; interfaces match spec fields and remain additive/backward-compatible; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:279","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check interface names, enum/string union values, field optionality, and no breaking changes to existing RequirementTable/ReviewArtifacts users.","Run npm run build and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:279; src/pipeline/types.ts:172; tests/contracts.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; types.ts verification interfaces are prerequisite for all Phase C modules; picked_reason:type contracts are prerequisite for Phase C review modules; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tsc contract check failed because verification types were not exported; evidence:green tsc contract check passed after adding QualityScore DedupResult RiskCoverageReport TraceabilityReport VerificationReport; evidence:tests/contracts.test.ts passed 1 file 2 tests; evidence:npm run build passed; evidence:npm test passed 25 files 111 tests; evidence:graphify update . rebuilt 1452 nodes 2045 edges; continue_now:VER-1 Implement rule-based quality scorer"
"VER-1","P0","C","review","Implement rule-based quality scorer","Create src/pipeline/review/quality-scorer.ts with scoreRequirementQuality() and scoreRequirementTableQuality() for testability, specificity, traceability, engineeringSemantic dimensions and weighted overall score.","WHEN scoring known requirements THEN dimensions are 0-1, overall = 0.3*testability + 0.25*specificity + 0.2*traceability + 0.25*engineeringSemantic, issues list concrete deductions, and implementation uses no LLM; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:275","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check scoring is deterministic, bounded, explainable, and handles incomplete requirement fields without throwing.","Run tests/quality-scorer.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:275; src/pipeline/review/quality-scorer.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-13; picked_reason:quality scorer is the first deterministic subreport feeding unified verification; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/quality-scorer.test.ts initially failed because src/pipeline/review/quality-scorer.ts was missing; evidence:green tests/quality-scorer.test.ts passed 1 file 3 tests; evidence:npm run build passed; evidence:npm test passed 26 files 114 tests; evidence:git diff --check passed; evidence:graphify update . rebuilt 1463 nodes 2069 edges; continue_now:VER-2 Add quality scorer tests"
"VER-2","P1","C","tests","Add quality scorer tests","Create tests/quality-scorer.test.ts covering known good, medium, and bad requirement examples plus weighting behavior.","WHEN tests/quality-scorer.test.ts runs THEN good examples score high, vague/untraceable examples score low, and weighted overall matches the specified formula; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:279","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check tests assert meaningful score ordering and specific issue messages without brittle exact full snapshots.","Run tests/quality-scorer.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:279; tests/quality-scorer.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-1; picked_reason:test row pairs with VER-1 and can close with scorer behavior coverage; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:tests cover known good and vague requirements, weighted overall formula, issue messages, and table order; evidence:tests/quality-scorer.test.ts passed 1 file 3 tests; evidence:npm run build passed; evidence:npm test passed 26 files 114 tests; evidence:git diff --check passed; evidence:graphify update . rebuilt 1463 nodes 2069 edges; continue_now:VER-3 Implement three-layer dedup checker"
"VER-3","P0","C","review","Implement three-layer dedup checker","Create src/pipeline/review/dedup-checker.ts implementing L1 fingerprint, L2 normalized-text Jaccard >=0.8, and optional L3 LLM semantic duplicate checks returning DedupResult.","WHEN checkRequirementDeduplication() runs THEN exact fingerprint duplicates use method fingerprint, near text duplicates use method jaccard with similarity, optional semantic client can add method semantic with reasoning, and no API key or prompt secret is logged; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:304","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check Jaccard normalization is deterministic, LLM response parsing treats provider output as untrusted JSON, semantic layer is optional, and errors degrade to non-semantic results.","Run tests/dedup-checker.test.ts tests/inference.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:304; src/pipeline/review/dedup-checker.ts:1; src/llm/prompts.ts:1; src/llm/client.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-13; picked_reason:dedup checker is prerequisite for unified verification duplicate assessment; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/dedup-checker.test.ts failed because src/pipeline/review/dedup-checker.ts was missing; evidence:green tests/dedup-checker.test.ts passed 1 file 4 tests; evidence:tests/dedup-checker.test.ts tests/inference.test.ts passed 2 files 11 tests; evidence:npm run build passed; evidence:npm test passed 27 files 119 tests; evidence:git diff --check passed after CSV line ending correction; evidence:graphify update . rebuilt 1482 nodes 2114 edges; continue_now:VER-4 Add dedup checker tests"
"VER-4","P1","C","tests","Add dedup checker tests","Create tests/dedup-checker.test.ts covering exact, near, semantic duplicate, and non-duplicate pairs.","WHEN tests/dedup-checker.test.ts runs THEN it proves all three dedup layers and verifies semantic LLM fallback does not break deterministic layers; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:304","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check tests use a fake LlmClient for semantic layer and do not claim real provider integration.","Run tests/dedup-checker.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:304; tests/dedup-checker.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-3; picked_reason:dedup checker is prerequisite for unified verification duplicate assessment; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:tests cover fingerprint duplicates, normalized Jaccard near duplicates, optional semantic fake LlmClient duplicate, and provider failure fallback; evidence:tests/dedup-checker.test.ts passed 1 file 4 tests; evidence:tests/dedup-checker.test.ts tests/inference.test.ts passed 2 files 11 tests; evidence:npm test passed 27 files 119 tests; evidence:graphify update . rebuilt 1482 nodes 2114 edges; continue_now:VER-5 Implement risk coverage verifier"
"VER-5","P0","C","review","Implement risk coverage verifier","Create src/pipeline/review/risk-coverage.ts verifying risk catalog coverage by action and R7/R8 requirements.","WHEN verifyRiskCoverage() runs with hyperedges, requirements, and KnowledgeBase THEN it returns coveredRisks, uncoveredRisks with severity/actions, coverageRate, and warnings for high-severity uncovered risks; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:331","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check action-to-risk lookup uses risk-catalog triggerActions, coverage considers R7/R8 relatedRisks and descriptions, and empty expected risks are handled safely.","Run tests/risk-coverage.test.ts tests/knowledge.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:331; src/pipeline/review/risk-coverage.ts:1; src/knowledge/loader.ts:1; data/risk-catalog.json:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:KB-4,VER-13; picked_reason:risk coverage is the next deterministic verification subreport; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/risk-coverage.test.ts failed because src/pipeline/review/risk-coverage.ts was missing; evidence:green tests/risk-coverage.test.ts tests/knowledge.test.ts passed 2 files 10 tests; evidence:npm run build passed; evidence:npm test passed 29 files 125 tests; evidence:graphify update . rebuilt 1500 nodes 2175 edges; continue_now:VER-6 Add risk coverage tests"
"VER-6","P1","C","tests","Add risk coverage tests","Create tests/risk-coverage.test.ts for covered/uncovered risks and severity warnings.","WHEN tests/risk-coverage.test.ts runs THEN it verifies covered risk detection, uncovered high-severity warnings, and coverageRate calculation; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:331","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check tests use real KnowledgeBase data where practical and focused fixtures for edge cases.","Run tests/risk-coverage.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:331; tests/risk-coverage.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-5; picked_reason:test row pairs with VER-5 and proves coverage warnings/rates; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:tests cover covered risks, uncovered high-severity warnings, coverageRate bounds, R8 description coverage, and empty risk catalog full coverage; evidence:tests/risk-coverage.test.ts tests/knowledge.test.ts passed 2 files 10 tests; evidence:npm test passed 29 files 125 tests; evidence:graphify update . rebuilt 1500 nodes 2175 edges; continue_now:VER-7 Implement traceability verifier"
"VER-7","P0","C","review","Implement traceability verifier","Create src/pipeline/review/traceability.ts implementing OP to requirement, requirement to OP, and hyperedge expected-vs-actual requirement type checks using domain-patterns.","WHEN verifyTraceability() runs THEN it returns opsWithoutRequirements, requirementsWithoutOps, hyperedgeCoverage with expectedTypes from domainPatterns.relatedRequirements, gaps, forwardCoverage, and backwardCoverage; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:352","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check unknown actions degrade to existing role coverage expectations or empty expectations, invalid source references are flagged, and coverage rates are bounded.","Run tests/traceability.test.ts tests/review.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:352; src/pipeline/review/traceability.ts:1; src/knowledge/loader.ts:1; data/domain-patterns.json:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:KB-2,VER-13; picked_reason:traceability is the last deterministic subreport before unified verification; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/traceability.test.ts failed because src/pipeline/review/traceability.ts was missing; evidence:green tests/traceability.test.ts tests/review.test.ts tests/risk-coverage.test.ts tests/knowledge.test.ts passed 4 files 20 tests; evidence:npm run build passed; evidence:npm test passed 29 files 125 tests; evidence:graphify update . rebuilt 1500 nodes 2175 edges; continue_now:VER-8 Add traceability tests"
"VER-8","P1","C","tests","Add traceability tests","Create tests/traceability.test.ts for forward/backward coverage and domain-pattern gap detection.","WHEN tests/traceability.test.ts runs THEN it verifies OPs without requirements, requirements without valid OPs, expected/actual/gap type detection, and coverage rates; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:352","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check tests cover both valid sample-like data and missing reference edge cases.","Run tests/traceability.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:352; tests/traceability.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-7; picked_reason:test row pairs with VER-7 and proves forward/backward/gap coverage; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:tests cover OPs without requirements, requirements without valid source, expected/actual/gap type detection, unknown action empty expectations, and bounded coverage rates; evidence:tests/traceability.test.ts tests/review.test.ts passed inside 4-file regression run; evidence:npm test passed 29 files 125 tests; evidence:graphify update . rebuilt 1500 nodes 2175 edges; continue_now:VER-9 Implement unified verification report"
"VER-9","P0","C","review","Implement unified verification report","Create src/pipeline/review/verification.ts integrating quality, dedup, risk coverage, and traceability into VerificationReport with pass/warn/fail assessment.","WHEN verifyRequirements() runs THEN it returns all four subreports, averageQuality, overallAssessment using pass/warn/fail thresholds, and a concise summary; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:377","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check assessment thresholds exactly match spec and no LLM dependency is required for normal deterministic verification.","Run tests/verification.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:377; src/pipeline/review/verification.ts:1; tests/verification.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:VER-1,VER-3,VER-5,VER-7,VER-13; picked_reason:unified report composes the four completed verification subreports; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/verification.test.ts failed because src/pipeline/review/verification.ts was missing; evidence:green tests/verification.test.ts passed 1 file 3 tests; evidence:tests cover pass threshold, warn threshold, low-quality fail, and high-severity-risk fail; evidence:npm run build passed; evidence:npm test passed 30 files 128 tests; evidence:git diff --check passed; evidence:graphify update . rebuilt 1512 nodes 2223 edges; continue_now:VER-10 Integrate verification in review artifacts"
