"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"LLM-1","P0","B","llm","Create extract-op-fields prompt template","Create data/prompts/extract-op-fields.md with a structured prompt template for OP field extraction including role, task, chain-of-thought style analysis instructions, few-shot examples, and JSON output contract.","WHEN the template is loaded THEN it contains placeholders for op_id, source_text, parent_step, action, and knowledge_context; WHEN rendered THEN it names the Op JSON contract fields and includes at least two examples; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:187","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check template has explicit role/task/output contract, structured reasoning guidance without requesting hidden chain-of-thought disclosure, few-shot examples, and no secrets.","Run prompt-loader/template tests and npm test after integration.","已完成","已完成","已完成","已提交","","data/prompts/extract-op-fields.md:1; docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:187; src/pipeline/atomizer/index.ts:61","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:P0 extract-op-fields is the Stage 1 template dependency for the prompt-loader integration; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:direct template read found op/action/knowledge placeholders, Op fields, and 2 examples; evidence:npm pack --dry-run includes data/prompts/extract-op-fields.md; evidence:npm test passed 23 files 97 tests after rerun; caveat: loadPromptTemplate integration is covered by LLM-6; continue_now:LLM-2 Create generate-candidates prompt template"
"LLM-2","P0","B","llm","Create generate-candidates prompt template","Create data/prompts/generate-candidates.md for implicit requirement discovery with role, task, reasoning guidance, two to three few-shot examples, JSON output including reasoning, and knowledge context.","WHEN the template is loaded THEN it contains existing_requirements, clarifications, coverage_summary, and knowledge_context placeholders; WHEN rendered THEN it requires source_hyperedge, source_ops, confidence, and reasoning in JSON candidates; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:208","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check prompt asks for concise visible reasoning/evidence, not hidden chain-of-thought; validate JSON contract and source traceability fields.","Run tests/inference.test.ts and npm test after integration.","已完成","已完成","已完成","已提交","","data/prompts/generate-candidates.md:1; docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:208; src/llm/prompts.ts:3","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:P0 candidate generation is the main Stage 4 prompt and defines reasoning/source_hyperedge output contract; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:direct template read found existing_requirements/clarifications/coverage_summary/knowledge_context placeholders and reasoning/source_hyperedge contract; evidence:template has 3 few-shot examples and concise visible reasoning guidance; evidence:tests/inference.test.ts passed 6 tests; evidence:npm test passed 23 files 97 tests; caveat: loadPromptTemplate integration is covered by LLM-6; continue_now:LLM-6 Implement prompt template loader"
"LLM-3","P1","B","llm","Create rewrite-requirement prompt template","Create data/prompts/rewrite-requirement.md with engineering semantic rewrite rules, quantitative metric requirements, module/object guidance, and good/bad examples.","WHEN rendered with description and source_hyperedge THEN the prompt asks for one JSON object with description and reasoning and preserves source_hyperedge; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:222","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check rewrite rules emphasize measurable constraints, applicable object, module ownership, and no invented unsupported values.","Run tests/inference.test.ts and npm test after integration.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:222; src/llm/prompts.ts:22; data/prompts/rewrite-requirement.md:1; tests/prompt-loader.test.ts:15","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:rewrite template is required before prompt builders can leave inline string concatenation; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/prompt-loader.test.ts failed because data/prompts/rewrite-requirement.md was missing; evidence:green tests/prompt-loader.test.ts and tests/inference.test.ts passed 2 files 11 tests; evidence:npm test passed 25 files 104 tests; evidence:npm pack --dry-run includes data/prompts/rewrite-requirement.md; evidence:graphify update . rebuilt 1415 nodes 1976 edges; continue_now:LLM-4 Create semantic-dedup prompt template"
"LLM-4","P1","B","llm","Create semantic-dedup prompt template","Create data/prompts/semantic-dedup.md with explicit duplicate judgment criteria and reasoning requirement.","WHEN rendered with candidate and existing requirements THEN it asks for JSON with is_duplicate and reasoning and lists criteria for same operation/parameter/object and non-duplicate risk-control overlap; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:232","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check prompt criteria distinguish exact duplicates from merge candidates and preserve source_hyperedge context.","Run tests/inference.test.ts and npm test after integration.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:232; src/llm/prompts.ts:31; data/prompts/semantic-dedup.md:1; tests/prompt-loader.test.ts:30","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:semantic dedup criteria are required before template-backed prompt builders can replace inline duplicate checks; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/prompt-loader.test.ts failed because data/prompts/semantic-dedup.md was missing; evidence:green tests/prompt-loader.test.ts and tests/inference.test.ts passed 2 files 12 tests; evidence:npm test passed 25 files 105 tests; evidence:npm pack --dry-run includes data/prompts/semantic-dedup.md; evidence:graphify update . rebuilt 1429 nodes 1989 edges; continue_now:LLM-5 Create verify-completeness prompt template"
"LLM-5","P1","B","llm","Create verify-completeness prompt template","Create data/prompts/verify-completeness.md for LLM-assisted completeness verification.","WHEN the template is loaded THEN it asks for JSON with missing_requirement_types, weak_evidence, questions, and reasoning based on requirement table, coverage matrix, hyperedges, and knowledge_context; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:192","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check prompt is verification-focused, asks for evidence-grounded findings, and does not claim automatic acceptance.","Run prompt-loader/template tests and npm test after integration.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:192; src/pipeline/review/index.ts:1; data/prompts/verify-completeness.md:1; tests/prompt-loader.test.ts:47","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:completeness verification template is the remaining prompt artifact needed before loader coverage is complete; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/prompt-loader.test.ts failed because data/prompts/verify-completeness.md was missing; evidence:green tests/prompt-loader.test.ts and tests/inference.test.ts passed 2 files 13 tests; evidence:npm test passed 25 files 106 tests; evidence:npm pack --dry-run includes data/prompts/verify-completeness.md; evidence:graphify update . rebuilt 1442 nodes 2001 edges; continue_now:LLM-10 Add optional reasoning to Requirement"
"LLM-6","P0","B","llm","Implement prompt template loader","Create src/llm/prompt-loader.ts with loadPromptTemplate() and renderPrompt() using mustache-style variable substitution from data/prompts.","WHEN loadPromptTemplate(""generate-candidates"") runs THEN it loads data/prompts/generate-candidates.md; WHEN renderPrompt sees {{name}} placeholders THEN it replaces known variables, preserves unknown placeholders, and rejects unsafe template names; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:199","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check path traversal protection, default data path under package data/prompts, deterministic substitution, and package inclusion.","Run tests/prompt-loader.test.ts and npm test.","已完成","已完成","已完成","已提交","","src/llm/prompt-loader.ts:1; tests/prompt-loader.test.ts:1; data/prompts/generate-candidates.md:1; package.json:6","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:LLM-1,LLM-2,LLM-3,LLM-4,LLM-5; picked_reason:P0 prompt-loader is the module boundary required before templates can replace inline prompt strings; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/prompt-loader.test.ts failed because src/llm/prompt-loader.js was missing; evidence:green prompt-loader tests passed 4 tests; evidence:npm run build passed; evidence:npm test passed 24 files 101 tests; evidence:npm pack --dry-run includes dist/llm/prompt-loader.js and data/prompts templates; evidence:graphify update . rebuilt 1387 nodes 1940 edges; continue_now:LLM-7 Implement knowledge context builder"
"LLM-7","P0","B","llm","Implement knowledge context builder","Create src/llm/context-builder.ts with buildKnowledgeContext() to extract action-relevant parameter constraints, risk catalog entries, related requirements, and engineering hints from KnowledgeBase.","WHEN buildKnowledgeContext(""离心"", knowledge) runs THEN it includes 离心 required parameters, matching parameter constraints, triggered risks, related R types, and engineering hints; WHEN action is unknown THEN it returns a clear fallback context; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:204","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check formatting is structured, bounded, deterministic, and treats knowledge JSON as trusted local data only.","Run tests/context-builder.test.ts tests/knowledge.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:204; src/knowledge/loader.ts:6; src/llm/context-builder.ts:1; tests/context-builder.test.ts:1","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:KB-5; picked_reason:P0 knowledge context is required before candidate generation can inject action-specific domain evidence; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/context-builder.test.ts failed because src/llm/context-builder.js was missing; evidence:green context-builder and knowledge tests passed 2 files 9 tests; evidence:npm run build passed; evidence:npm test passed 25 files 103 tests; evidence:npm pack --dry-run --json includes dist/llm/context-builder.js; evidence:graphify update . rebuilt 1392 nodes 1956 edges; continue_now:documentation npm release request"
"LLM-8","P0","B","llm","Rewrite LLM prompt builders to use templates","Rewrite src/llm/prompts.ts to replace inline string concatenation with prompt-loader and context-builder calls.","WHEN buildCandidateGenerationPrompt, buildRequirementRewritePrompt, and buildSemanticDedupPrompt run THEN they render external templates and still include source_hyperedge contract fields; candidate generation accepts KnowledgeBase and injects knowledge_context; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:240","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check exported function signatures remain backward compatible where possible and template rendering has no unfilled required placeholders in normal use.","Run tests/inference.test.ts tests/prompt-loader.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:240; src/llm/prompts.ts:1; src/llm/prompt-loader.ts:1; src/llm/context-builder.ts:1; tests/inference.test.ts:76","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:LLM-6,LLM-7; picked_reason:P0 integration point now unblocked by templates and context builder; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/inference.test.ts failed because prompts still used inline strings instead of external templates; evidence:green inference prompt tests passed and assert template headings, source_hyperedge, knowledge context, and no unfilled placeholders; evidence:tests/inference.test.ts tests/prompt-loader.test.ts tests/context-builder.test.ts passed 3 files 15 tests; evidence:npm run build passed; evidence:npm test passed 25 files 107 tests; evidence:npm pack --dry-run includes dist/llm/prompts.js and all data/prompts templates after sequential rerun; evidence:graphify update . rebuilt 1444 nodes 2024 edges; continue_now:LLM-9 Pass KnowledgeBase through inference and parse reasoning"
"LLM-9","P0","B","llm","Pass KnowledgeBase through inference and parse reasoning","Update src/pipeline/inference/index.ts to pass KnowledgeBase to prompt builders and accept reasoning fields from LLM responses.","WHEN inferRequirements receives a client and KnowledgeBase THEN candidate prompts include action-aware knowledge context; WHEN LLM responses include reasoning THEN LLM-Candidate requirements carry reasoning without affecting deterministic fingerprints; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:245","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check optional knowledge injection path, default loading behavior, third-party LLM JSON validation, and no secret leakage in errors.","Run tests/inference.test.ts tests/e2e.test.ts and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:245; src/pipeline/inference/index.ts:1; src/pipeline/runner.ts:42; tests/inference.test.ts:22; tests/e2e.test.ts:112","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; depends_on:LLM-8,KB-11; picked_reason:P0 inference must now carry template knowledge context and preserve LLM evidence summaries; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tests/inference.test.ts failed because LLM candidate reasoning was undefined; evidence:green tests/inference.test.ts and tests/e2e.test.ts passed 2 files 10 tests; evidence:custom KnowledgeBase marker was asserted in candidate prompt; evidence:rewrite reasoning was preserved on LLM-Candidate Requirement; evidence:npm run build passed; evidence:npm test passed 25 files 107 tests; evidence:npm pack --dry-run includes updated dist/pipeline/inference.js and dist/pipeline/runner.js; evidence:graphify update . rebuilt 1447 nodes 2035 edges; continue_now:LLM-11 Update inference tests for prompt format and reasoning"
"LLM-10","P0","B","types","Add optional reasoning to Requirement","Update src/pipeline/types.ts to add optional reasoning field to Requirement interface.","WHEN TypeScript builds THEN Requirement supports optional reasoning?: string and createRequirementFingerprint remains based only on type, description, sourceFields, and applicableTo; ref: docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:255","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check interface addition is backward-compatible and does not change deterministic fingerprint inputs.","Run npm run build and npm test.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-06-11-intelligence-enhancement.md:255; src/pipeline/types.ts:128; src/pipeline/requirements/index.ts:26; tests/contracts.test.ts:75; tests/requirements.test.ts:42","source_doc:docs/superpowers/specs/2026-06-11-intelligence-enhancement.md; original_status:Todo; picked_reason:reasoning field is the stable type contract needed before inference can preserve LLM evidence summaries; done_at:2026-06-12; skills_used:api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening; mcp_used:none; evidence:red tsc contract check failed because reasoning did not exist on Requirement; evidence:green tsc contract check passed after adding optional reasoning; evidence:contracts and requirements tests passed 2 files 6 tests; evidence:npm run build passed; evidence:npm test passed 25 files 107 tests; evidence:reasoning fingerprint regression confirms deterministic identity ignores reasoning; evidence:graphify update . rebuilt 1442 nodes 2001 edges; continue_now:LLM-8 Rewrite LLM prompt builders to use templates"
