"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"UPD-1","P0","update-mechanism","contracts","Define update check contracts","Create src/update-checker.ts: define UpdateCheckResult and UpdateCheckCache interfaces","WHEN TypeScript builds THEN update checker exports UpdateCheckResult and UpdateCheckCache interfaces with currentVersion latestVersion updateAvailable checkedAt and cache fields; APIs remain additive.","CONTRACT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check public names and field optionality are stable and do not couple to CLI internals.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; tests/update-checker.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:none"
"UPD-2","P0","update-mechanism","cache","Implement update cache read/write","Update src/update-checker.ts: implement readCache() and writeCache() for ~/.autob/update-check.json with 24h TTL","WHEN readCache()/writeCache() run THEN they read/write ~/.autob/update-check.json, tolerate missing or malformed cache by returning undefined, and treat entries older than 24h as expired.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check cache path is under ~/.autob, JSON parse errors are silent, and 24h TTL boundary is tested.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; src/config.ts:33; tests/update-checker.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-1"
"UPD-3","P0","update-mechanism","network","Fetch latest npm package version","Update src/update-checker.ts: implement fetchLatestVersion() using fetch with 3s AbortSignal timeout against registry.npmjs.org","WHEN fetchLatestVersion() runs THEN it fetches https://registry.npmjs.org/autobiology-cli/latest using AbortSignal timeout 3000ms, parses version from trusted field shape, and returns undefined on invalid response or errors.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check network response parsing treats payload as untrusted, timeout is configurable for tests, and errors are silent.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; package.json:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-1"
"UPD-4","P0","update-mechanism","semver","Compare major.minor.patch versions","Update src/update-checker.ts: implement semver comparison logic (major.minor.patch string compare)","WHEN compareVersions()/isNewerVersion() run THEN they compare numeric major.minor.patch segments correctly for newer, equal, older, and malformed versions.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check comparison is numeric not lexicographic and malformed versions do not trigger update notices.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; tests/update-checker.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-1"
"UPD-5","P0","update-mechanism","orchestration","Combine update check cache, fetch, compare","Update src/update-checker.ts: implement checkForUpdate() combining cache read + fetch + semver compare + cache write with silent error handling","WHEN checkForUpdate() runs THEN fresh cache skips fetch, expired/missing cache fetches registry, writes cache, returns update result only when latest is newer, and all IO/network errors return undefined silently.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check cache/fetch/compare composition, no stdout/stderr side effects, and no thrown errors on expected failures.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; src/version.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-2,UPD-3,UPD-4"
"UPD-6","P1","update-mechanism","notice","Render update notice","Update src/update-checker.ts: implement printUpdateNotice() to render boxed upgrade prompt to stderr after pipeline completes","WHEN printUpdateNotice() receives an available update THEN it writes a boxed upgrade prompt to stderr; WHEN no update is available or result is undefined THEN it writes nothing.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check notice text includes current/latest versions and npm install command, and non-update path is silent.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; tests/update-checker.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-5"
"UPD-7","P0","update-mechanism","self-update","Execute self update command","Update src/update-checker.ts: implement runSelfUpdate() executing npm install -g autobiology-cli@latest via child_process.execFile","WHEN runSelfUpdate() runs THEN it executes npm install -g autobiology-cli@latest via child_process.execFile, streams/surfaces success output, and returns a structured success/failure result without exposing secrets.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check execFile arguments are not shell-interpolated and failures return structured errors.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/update-checker.ts:1; tests/update-checker.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-1"
"UPD-8","P0","update-mechanism","cli","Run update check around CLI entrypoint","Update src/cli.ts: inject checkForUpdate() at startup and printUpdateNotice() after parseAsync in the entrypoint block","WHEN autob is executed as the entrypoint THEN checkForUpdate() starts at startup and printUpdateNotice() runs after parseAsync completes, without blocking command registration tests or changing imported createProgram() behavior.","INTEGRATION","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check entrypoint uses parseAsync and does not make tests hit network by default through createProgram().","Run tests/cli.test.ts tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/cli.ts:1; src/update-checker.ts:1; tests/cli.test.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-5,UPD-6"
"UPD-9","P0","update-mechanism","cli","Add autob update command","Update src/cli.ts: add autob update subcommand with --check flag wiring to checkForUpdate and runSelfUpdate","WHEN autob update runs THEN it attempts runSelfUpdate(); WHEN autob update --check runs THEN it only checks latest version and prints a status/notice without installing; docs mention the command.","INTEGRATION","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check --check does not call runSelfUpdate, command has useful output, and CLI reference is updated.","Run tests/cli.test.ts tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","src/cli.ts:1; docs/cli-reference.md:1; docs/zh/cli-reference.md:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-7,UPD-8"
"UPD-10","P1","update-mechanism","tests","Test fetchLatestVersion versions","Create tests/update-checker.test.ts: test fetchLatestVersion with mocked fetch (newer/equal/older version)","WHEN tests/update-checker.test.ts runs THEN mocked fetch covers newer, equal, and older registry versions without real network.","UNIT","api-and-interface-design;test-driven-development;incremental-implementation;security-and-hardening","","Check tests mock global fetch and assert current/latest/updateAvailable outcomes without external calls.","Run tests/update-checker.test.ts and npm test.","未开始","未开始","未开始","未提交","","tests/update-checker.test.ts:1; src/update-checker.ts:1","source_doc:issues/20260612-update-mechanism.csv; original_status:Todo; dependencies:UPD-3"
